dataset,lmbda,cluster_option,L,convergence_iter,optimum,time,seed,energy_list_file
Synthetic,10,kmedian,0.1,21,290.3401881767455,0.25231789999999776,7,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.1__lmb=10__seed=7.txt
Synthetic,10,kmedian,0.1,4,295.8886828784239,0.30233579999999804,8,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.1__lmb=10__seed=8.txt
Synthetic,10,kmedian,0.1,24,289.9858385562219,0.32286599999999765,9,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.1__lmb=10__seed=9.txt
Synthetic,10,kmedian,0.1,27,291.01413663291464,0.34150869999999856,10,Synthetic\Lipschitz_energy_list_logs\kmedian__L=0.1__lmb=10__seed=10.txt
Synthetic,10,kmeans,0.1,18,373.4620797903997,0.3603900999999965,1,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.1__lmb=10__seed=1.txt
Synthetic,10,kmeans,0.1,4,-772945687.1736679,0.3751115000000027,2,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.1__lmb=10__seed=2.txt
Synthetic,10,kmeans,0.1,13,370.0172311554913,0.30896860000000004,3,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.1__lmb=10__seed=3.txt
Synthetic,10,kmeans,0.1,4,-3439944201.0738325,0.41991930000000366,4,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.1__lmb=10__seed=4.txt
Synthetic,10,kmeans,0.1,17,370.2885945517855,0.40555839999999677,5,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.1__lmb=10__seed=5.txt
Synthetic,10,kmeans,0.1,14,368.9060712348481,0.3394210999999956,6,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.1__lmb=10__seed=6.txt
Synthetic,10,kmeans,0.1,15,367.60727967083676,0.5309266000000008,7,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.1__lmb=10__seed=7.txt
Synthetic,10,kmeans,0.1,3,373.239517557693,0.3470966000000004,8,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.1__lmb=10__seed=8.txt
Synthetic,10,kmeans,0.1,16,369.77182732108497,0.47039680000000317,9,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.1__lmb=10__seed=9.txt
Synthetic,10,kmeans,0.1,12,363.12035810277075,0.5114929000000004,10,Synthetic\Lipschitz_energy_list_logs\kmeans__L=0.1__lmb=10__seed=10.txt
Synthetic,10,ncut,0.1,496,-1.316304005937572,0.8886702,1,Synthetic\Lipschitz_energy_list_logs\ncut__L=0.1__lmb=10__seed=1.txt
